participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_percent_accurate_tagging,mean_patient_count,mean_percent_injury_correctly_treated,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_triage_time,sum_action_count,sum_assessment_count,sum_tag_application_count,sum_treatment_count,sum_treated_expectant_count,encounter_layout
2024209,0,b5989edc-8348-4b84-b649-87fc4f1cca53,0.316666667,0.366666667,3.666666667,0.533333333,0.461863825,55.0,4.0,38.46153846153846,6.0,0.0,74.0,0.0,799018.0,19264371.0,58430.0,23372.0,46744.0,0.0,Desert
2024211,0,02d472ac-f6fe-474c-815d-6125fadfcbf7,0.5,0.475,3.333333333,0.634265734,0.267488168,37.5,4.0,77.27272727272727,10.0,0.0,145.0,74591.5,1244082.0,24023709.0,179586.0,32652.0,236727.0,8163.0,Submarine
2024211,0,5d8d73a3-1898-4f64-8676-73edd1b7daa0,0.5,0.475,3.333333333,0.634265734,0.267488168,37.5,4.0,60.0,6.0,1.0,113.0,39117.0,753718.0,3621525.0,65400.0,5450.0,35425.0,2725.0,Jungle
2024212,0,2e8f6555-a7fa-4b54-8132-c030d697b4ad,0.55,0.141666667,4.0,0.361538462,0.22255253900000002,25.0,4.0,0.0,0.0,1.0,17.0,0.0,621571.0,847392.0,3492.0,0.0,0.0,1164.0,Jungle
2024212,0,5a909dc4-0f86-430d-a400-e37139cba69f,0.55,0.141666667,4.0,0.361538462,0.22255253900000002,25.0,4.0,5.555555555555555,4.0,0.0,29.0,25260.5,1239679.0,12824255.0,30234.0,10078.0,5039.0,5039.0,Submarine
2024213,0,dfec642f-45c9-4813-91d8-3445d5ca763c,0.416666667,0.416666667,4.0,0.5,0.398858081,55.0,5.0,66.66666666666667,6.0,1.0,125.0,7800.0,950828.0,8317056.0,51194.0,19690.0,59070.0,3938.0,Urban
2024213,0,fc676b00-9559-467d-adbb-696dd6e9fb08,0.416666667,0.416666667,4.0,0.5,0.398858081,55.0,4.0,36.36363636363637,9.0,0.0,109.0,0.0,963754.0,2967714.0,31305.0,8348.0,14609.0,2087.0,Desert
2024214,0,d2aaf0ef-a32f-4255-b3f5-56df927ae0b4,0.8000000000000002,0.366666667,,0.609090909,0.465441643,60.0,5.0,33.333333333333336,15.0,1.0,92.0,7057.75,1068839.0,6772402.0,66040.0,13208.0,26416.0,0.0,Urban
2024215,0,3cf14e31-f416-4c78-8a69-91bf0c685448,0.4666666669999999,0.4666666669999999,2.333333333,0.546153846,0.278911726,62.5,4.0,46.15384615384615,12.0,1.0,33.0,25794.0,687951.0,2128650.0,35169.0,5553.0,14808.0,1851.0,Jungle
2024215,0,a7ce6f7b-6466-4281-9496-92b640d9d04b,0.4666666669999999,0.4666666669999999,2.333333333,0.546153846,0.278911726,62.5,4.0,72.22222222222223,8.0,0.0,53.0,13273.0,734355.0,8534205.0,49744.0,15545.0,49744.0,3109.0,Submarine
2024215,1,3cf14e31-f416-4c78-8a69-91bf0c685448,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024215,1,a7ce6f7b-6466-4281-9496-92b640d9d04b,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024216,0,c6d3a90f-68c0-4948-bd96-537e80973605,0.366666667,0.625,0.0,0.553846154,0.320156335,12.5,4.0,77.77777777777777,17.0,1.0,74.0,10775.0,725606.0,5262432.0,79212.0,13776.0,61992.0,3444.0,Submarine
2024216,0,d13091cc-98e4-4aba-8d02-7eca8bd1a30c,0.36666666700000006,0.625,0.0,0.553846154,0.320156335,12.5,4.0,57.142857142857146,18.0,0.0,65.0,1784.0,623622.0,1986016.0,88192.0,1696.0,15264.0,1696.0,Jungle
2024216,1,c6d3a90f-68c0-4948-bd96-537e80973605,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
