session_uuid,scene_id,swaps_to_perfect_order_count
009b848c-ea64-4f22-bd40-711213a3d327,0,7
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,0,1
02f6a42e-5211-40ea-8384-824a83ab6760,0,2
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,0,3
04882754-51a0-4e5b-9617-b200e3609116,0,3
04acc8f2-1e64-47b2-9606-8d661f584aec,0,2
054918a7-9634-40fe-8356-2ce0c9cc376f,0,0
06303b89-128e-4bfb-9e6f-a843da3134f9,0,1
0667e56a-abe6-4097-9a56-33735f4855e2,0,3
0786a1df-d010-4b1b-a99a-e00df486d479,0,3
09024025-1320-4891-aefa-a497744ed3e2,0,5
0940a9be-3ff5-4739-b04b-a7605c1ffa2f,0,0
09f30ce2-1507-4ef1-84f1-3dfb3e6d9b86,0,3
0b01cf49-87cc-4647-9f29-b8dff39dcd6c,0,3
0b1d6253-9c4f-43b7-8217-6f0e486aabe7,0,6
0b41cfdc-0891-4d1d-91ea-ac86fa54a34c,0,3
0bfe46ef-6644-441e-a903-5445f2ee4fd5,0,0
0d3e0c62-db52-40f9-9ee8-7fc84a1dcbf2,0,1
0fa439d6-476c-49a5-b478-48e3454974e1,0,0
0fb12cf8-dcf5-4110-b090-3b3271e9add6,0,4
1044049f-c7e0-4a16-98d3-e3826b4b8bfc,0,3
1046b7d9-5848-41b5-9438-cf0dc4dc6cbe,0,6
1344120d-5834-4bbf-8f60-383a8752b512,0,0
13839608-6085-4a88-a8f2-74af9fd06a05,0,3
13862ebb-4616-4d09-a725-c34661b6fa9c,0,1
14678e1f-aa1c-4a67-a31f-65dd3e2238ca,0,0
14a344df-eee2-4fd1-b182-e3cdacd9026c,0,3
14f8e67c-bdc3-4c9c-9603-70cd51eb2367,0,2
1507bc88-8d4c-4c1c-9291-210f790c96e3,0,1
1563e213-aaa4-4b79-84a1-8f917ea9f7a9,0,1
15bb887b-b5ae-49a5-8a23-f2ac7808f11f,0,5
16359508-f91b-4f85-baeb-dade7d574a61,0,3
16373b36-886a-4d0d-9015-474d29d139cc,0,4
1663640c-5a60-4fa6-8bf4-249f41a693a5,0,3
17962d45-8e90-4b50-86e7-77451042aac8,0,0
17b80e0f-9afe-497f-b3a3-0549c14a4ba9,0,3
1813599d-cfde-45f0-8555-428b57478ebb,0,3
18bfbc11-3c60-4c89-94cc-ac8fea028318,0,2
18e1dec6-b780-4e77-a6b9-f608f2483e53,0,2
1cfebb9a-6000-4742-81be-6103ebe168bc,0,1
1fb559e8-15c6-463a-bda8-79ca0bfc330f,0,0
20168f93-040c-4290-aa7e-2b197825c9de,0,1
206da802-d38f-4f3a-98e3-44f99481479d,0,0
20e5782a-d6f7-4361-a590-7e710c176765,0,3
2107820d-d55c-40bb-bb90-6b10c227664c,0,1
21577c78-0085-4962-a363-b88526e3c212,0,2
21b0f09b-03b4-4af8-ac65-11ab1e5458d8,0,1
2270eaba-f9b5-4f96-8a5e-b69276846474,0,0
22e2c9a3-b93f-4f7f-896a-ca188c78505b,0,5
24205a11-9e21-44b7-a565-985454c90776,0,2
251a4532-ff1f-4182-91ce-4215786a339a,0,3
25309ebf-8ca2-4678-af43-2d4030eb1c5d,0,3
25de35e0-354f-4785-9738-31c44e37fcbc,0,3
26cf9b5b-3395-49f1-a3e5-7fefd22b3a6b,0,0
26f08763-076e-4531-a6f7-f00232f664bd,0,2
27c2fa44-ba05-417c-ae95-317b06870dc9,0,3
2930a371-1187-4b98-adfc-19e095637e48,0,3
2aeb2057-cbe2-494c-98a5-fc2bdbef1355,0,1
2afd4e87-ac2a-4738-9e46-3b19d3385a32,0,1
2bc11b9d-374b-4ab7-9d87-967931962fe8,0,0
2c981992-899d-46b1-b92c-d086e21118db,0,0
2d26ca7b-1dbb-42e4-9bbf-bf0d131e2e06,0,7
2d511693-6144-45ee-89df-aba0ca629c84,0,2
2d920452-cfa3-41f4-95de-36b62a023900,0,3
2df4352b-22b9-4a9f-9c2c-6031978251e1,0,1
2e8678fd-fdc4-40c2-8122-09f1e31b8d2a,0,0
30a49dd8-c08a-4994-a622-57647670b5bb,0,3
30d6a023-e0a3-4678-9ef2-6011964d225a,0,1
313259a4-162f-44f6-8479-92e4554a1464,0,0
31d9c549-d016-4e44-8262-1d51b7adde29,0,0
321db911-0ed9-421a-9219-bb02038ac660,0,5
3228f729-d512-431a-bb96-d6f9aacb5d00,0,0
331f875e-eba1-4033-a502-6a888aee4e9c,0,0
33b51683-fa6a-4dd3-82e5-de08bcc17c14,0,1
33e7d6b6-2868-42e6-8967-d6890efb87a7,0,3
33f3d2d4-49b4-43cf-80d4-cd7d5993aca4,0,3
3435501b-192a-457f-9763-7985f7975784,0,3
3459b742-650d-4c82-bb7b-db84a843cc66,0,2
34bef815-47b3-4977-91f7-3bb68803387a,0,2
36ebe99c-dcda-4677-945c-cb05f312d61c,0,2
37daf3d7-4288-4954-a0bd-ca6872cf1e82,0,2
37db3752-51c8-463f-94a5-2196b6854cf6,0,1
37ed31fb-6f8a-4cc0-b80e-ac4138e42405,0,1
38b995b3-fb77-4fda-b0b4-21f062ed6a38,0,5
3bac8365-232a-4be0-a551-c5214b9f0706,0,3
3ce991bc-a2d1-46fd-a3a4-d3611e946ed7,0,3
3e4e23e4-ce9e-44b7-9a1e-6e2923b33123,0,1
3f142e7e-1e18-4341-947a-71f2e7f35aa2,0,1
400b6351-6f35-4f5b-98a6-db100a2fefd8,0,1
401ce554-b556-4a10-88bb-424ed5c22ea8,0,1
40efaf29-70b3-435a-8847-bcd4235720be,0,2
41f05171-141a-4df6-9d89-334331310c9b,0,2
4219eddf-b044-43ad-9e01-c0333fc428c5,0,0
4226ad6c-bb0a-4df0-8c4a-64c312927578,0,3
43313faf-6031-4433-be70-d5d828f55cff,0,1
44458d4a-3cce-4907-85e3-3db1375ce6bb,0,2
445ceb23-1514-4490-9aa6-f2fc55b5d28e,0,3
45118b95-412c-4a2d-9373-8f7da3428ca8,0,3
46c273a6-b8be-46ea-96cd-72903780d43d,0,3
48c426ae-e88c-49bd-8010-37dc7b042c95,0,0
