session_uuid,scene_id,patient_id,is_scene_aborted,scene_type,is_a_one_triage_file,patient_count,last_tag,max_salt,predicted_tag,is_tag_correct
2df4352b-22b9-4a9f-9c2c-6031978251e1,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
30a49dd8-c08a-4994-a622-57647670b5bb,1,Bob_0 Root,False,Triage,True,1,gray,DEAD,black,False
a437d61b-adad-424f-9714-83382548fda2,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
30d6a023-e0a3-4678-9ef2-6011964d225a,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
a40659ab-dfbf-43ab-91cb-72a48a82c426,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
a3113d56-505e-40c1-8c39-09baacc82efa,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
313259a4-162f-44f6-8479-92e4554a1464,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
a2a38d07-04c7-4b02-839e-83dc10e516ba,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
a275e363-d113-4f29-873c-a312f732ae0d,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
3165ffa6-6516-412b-a9c0-52bdecfa75e1,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
a62cdd57-739f-4f98-b0bd-45e7aced8b73,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
b3f3b351-c82b-47ef-81b5-0bce3be917f3,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
a98b7327-dfd7-43c2-86e7-b5080ec86806,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
aca8a746-0f72-4c8d-87a5-70d836da8768,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2aeb2057-cbe2-494c-98a5-fc2bdbef1355,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
b2276063-07ef-40b9-8764-bfb5e064699c,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
b1ebfdc9-6338-4b80-ba76-947f8690bd91,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2afd4e87-ac2a-4738-9e46-3b19d3385a32,1,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
b0ff9d39-598b-46b3-b3bc-1be3a791f10c,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2bc11b9d-374b-4ab7-9d87-967931962fe8,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
b0bc6f05-879c-4538-b0c0-d91f20b0ac39,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2be0000b-9e0b-414f-a540-c495ffc28404,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
ab1f8cd1-8d65-45da-b087-89b25ff46c66,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
b05e5139-6dd4-41d2-adb5-aedfebb028a6,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
af8ec7e7-e34b-472d-98ea-2a78285c8de8,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2d26ca7b-1dbb-42e4-9bbf-bf0d131e2e06,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
af2f4603-a819-4d08-bc09-db30a910fc3f,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
aec5d448-c4e6-4af7-8e36-d258c7bb6f96,1,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
ad39e17f-169a-4062-95af-cd6f194cdace,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
2d511693-6144-45ee-89df-aba0ca629c84,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
ad2137d0-d5aa-4a4e-af02-e327993c6d41,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2d920452-cfa3-41f4-95de-36b62a023900,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
2c981992-899d-46b1-b92c-d086e21118db,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
a1cb9dd5-e62b-4085-99d8-688e0a3856ee,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
cc6ad812-608f-4fc3-bae6-f837aaa056c0,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
20168f93-040c-4290-aa7e-2b197825c9de,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1046b7d9-5848-41b5-9438-cf0dc4dc6cbe,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
dfa09c43-42f4-4cb5-8f74-381744e0d320,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
deecd930-56c6-4679-87d8-7d6627631934,3,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1066671d-2a1d-4744-b66f-e4b48548701f,0,Lily_0 Root,False,Triage,True,1,,DEAD,black,False
dee5a112-91db-43bb-8564-dc4ce4195a88,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
de327503-2f08-4562-9543-547cbabd52e1,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
1344120d-5834-4bbf-8f60-383a8752b512,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
de04bec3-9503-467c-9c49-675720c4bab0,2,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
dfd3aa1c-7b73-43a7-80c0-80beeabcd985,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
13839608-6085-4a88-a8f2-74af9fd06a05,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
dd46bfb4-d2df-4b1c-923f-5f3568a14f29,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
13862ebb-4616-4d09-a725-c34661b6fa9c,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
dcd4a197-ba73-4d2f-a2aa-8ff3206219b9,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
14678e1f-aa1c-4a67-a31f-65dd3e2238ca,0,Lily_7 Root,False,Triage,False,1,black,DEAD,black,True
db948ce1-783d-4dff-a1f8-2be49570f327,1,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
14a344df-eee2-4fd1-b182-e3cdacd9026c,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
daca96a3-b61d-4087-9747-cea6fd7e3a43,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d9d58da9-9bdc-41ea-90fe-4c84db4635d9,0,Lily_0 Root,False,Triage,True,1,black,DEAD,black,True
dd601aee-8360-41f2-b89d-c37f3eb2c617,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
14f8e67c-bdc3-4c9c-9603-70cd51eb2367,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1044049f-c7e0-4a16-98d3-e3826b4b8bfc,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e0b7bea0-1cf9-42a8-a02c-e8699a962779,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0b891add-e0c3-463d-948d-7f491f1d10ef,3,Lily_0 Root,False,Triage,False,1,black,DEAD,black,True
e662a811-40fd-4bf2-b9df-d2d221d07b4a,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0b891add-e0c3-463d-948d-7f491f1d10ef,4,Lily_0 Root,False,Triage,False,1,black,DEAD,black,True
e4b17764-a999-4733-b455-1968588effc8,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e3c2b4c6-d8b7-4b64-8cd0-7ca0e622f9b5,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0bfe46ef-6644-441e-a903-5445f2ee4fd5,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
e353eee2-a630-40cd-b931-a98b12edd9b6,0,Bob_0 Root,False,Triage,True,1,red,DEAD,black,False
0d3e0c62-db52-40f9-9ee8-7fc84a1dcbf2,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e072d31f-2592-4c7e-8709-3db1e111240c,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e2e599c8-8e48-487f-9f95-a0a382432ca5,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e2ddf563-3583-404c-917a-8eb7bec38471,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0dc94285-ba14-40aa-9745-76504502a5cc,2,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
e249e6d4-c3d4-4e20-8fab-fa35fd59e871,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e2458ea2-71b5-4b84-bbfb-dff0a969c9d2,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e1d845d3-9874-449b-83ef-6c649073a868,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0fa439d6-476c-49a5-b478-48e3454974e1,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e1a418bf-114d-4b8e-b0a1-0a0ff144c0aa,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0fb12cf8-dcf5-4110-b090-3b3271e9add6,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
0dc94285-ba14-40aa-9745-76504502a5cc,1,Bob_0 Root,False,Triage,False,1,,DEAD,black,False
ccfb5502-64b5-4d1c-9ca3-63f522330041,0,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
d90f2d85-e91c-4f12-b070-5929d95be1c5,1,Lily_0 Root,False,Triage,True,1,,DEAD,black,False
d8fe95a5-c1fb-4239-8b42-12d28c35e111,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d2c676e2-fddc-4872-9a26-b621d6585df9,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
18e1dec6-b780-4e77-a6b9-f608f2483e53,0,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
d1445846-942b-422f-86ae-8b2a0b6133a8,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d11543fd-7b7f-4883-bd69-afe8128a76f2,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1cfebb9a-6000-4742-81be-6103ebe168bc,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d0e616ae-5458-42c9-a013-55b8f3b51b06,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
