session_uuid,scene_id,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,adherence_to_salt,has_patient_in_agony,patient_count,cluster_label
c6d3a90f-68c0-4948-bd96-537e80973605,1,,0.0,,False,False,0.0,2
c99de80f-15cc-45cb-aa64-5af0f2f118ca,0,758706.0,150.50511204937374,-0.12494023422418588,False,True,15.0,4
c99de80f-15cc-45cb-aa64-5af0f2f118ca,1,,0.0,,False,False,0.0,2
c9a8dc60-f61d-44bb-bcb5-6e2466f3c9a0,0,813513.0,40.59414915368161,1.0,True,True,10.0,0
cbbf410f-4657-428e-9616-8a777cc4704d,0,355809.0,21.30641169637643,1.0,True,True,10.0,10
d13091cc-98e4-4aba-8d02-7eca8bd1a30c,0,358343.0,67.4240575179297,-0.06523694370625699,False,True,12.0,0
d2aaf0ef-a32f-4255-b3f5-56df927ae0b4,0,722731.0,188.28289155722095,-0.061109245221899755,False,True,16.0,5
ddfb4e6e-f7c3-4321-89df-b6208f336318,0,,0.0,,False,False,0.0,2
ddfb4e6e-f7c3-4321-89df-b6208f336318,1,,22.566193589285184,1.0,True,True,14.0,10
df2fcf88-874b-4cf9-9707-3fa0b30c348f,0,695092.0,143.41121481761292,-0.11438544536079975,False,True,15.0,4
dfec642f-45c9-4813-91d8-3445d5ca763c,0,497323.0,158.02450069152135,-0.06761224605086014,False,True,16.0,4
fc676b00-9559-467d-adbb-696dd6e9fb08,0,833687.0,154.11725812145056,-0.061731226455983945,False,True,15.0,4
