participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_YrsMilExp,mean_actual_engagement_distance,mean_engaged_patient00_engagement_start,mean_engaged_patient01_engagement_start,mean_engaged_patient02_engagement_start,mean_engaged_patient03_engagement_start,mean_engaged_patient04_engagement_start,mean_first_engagement,mean_first_treatment,mean_injury_correctly_treated_count,mean_injury_not_treated_count,mean_injury_wrongly_treated_count,mean_last_engagement,mean_last_still_engagement,mean_measure_of_right_ordering,mean_patient_count,mean_percent_hemorrhage_controlled,mean_prioritize_high_injury_severity_patients,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_time_to_last_hemorrhage_controlled,mean_total_actions_count,mean_triage_time,mean_unengaged_patient00_engagement_start,mean_unengaged_patient01_engagement_start,mean_unengaged_patient02_engagement_start,mean_unengaged_patient03_engagement_start,mean_unengaged_patient04_engagement_start,mean_voice_capture_count,mean_walk_command_count,mean_walk_value,mean_walkers_value,mean_wave_command_count,mean_wave_value,engaged_patient00_injury_severity,engaged_patient00_location_tuple,engaged_patient00_patient_id,engaged_patient00_patient_sort,engaged_patient01_injury_severity,engaged_patient01_location_tuple,engaged_patient01_patient_id,engaged_patient01_patient_sort,engaged_patient02_injury_severity,engaged_patient02_location_tuple,engaged_patient02_patient_id,engaged_patient02_patient_sort,engaged_patient03_injury_severity,engaged_patient03_location_tuple,engaged_patient03_patient_id,engaged_patient03_patient_sort,engaged_patient04_injury_severity,engaged_patient04_location_tuple,engaged_patient04_patient_id,engaged_patient04_patient_sort,unengaged_patient00_injury_severity,unengaged_patient00_location_tuple,unengaged_patient00_patient_id,unengaged_patient00_patient_sort,unengaged_patient01_injury_severity,unengaged_patient01_location_tuple,unengaged_patient01_patient_id,unengaged_patient01_patient_sort,unengaged_patient02_injury_severity,unengaged_patient02_location_tuple,unengaged_patient02_patient_id,unengaged_patient02_patient_sort,unengaged_patient03_injury_severity,unengaged_patient03_location_tuple,unengaged_patient03_patient_id,unengaged_patient03_patient_sort,unengaged_patient04_injury_severity,unengaged_patient04_location_tuple,unengaged_patient04_patient_id,unengaged_patient04_patient_sort,medical_role,encounter_layout
2024212,0,5a909dc4-0f86-430d-a400-e37139cba69f,0.55,0.141666667,4.0,0.361538462,0.22255253900000002,12.0,5.500909015790027,1159132.0,1260868.0,,,,1074909.0,1159132.0,1.0,17.0,0.0,1209137.0,1210787.0,,4.0,33.333333333333336,0.0,4.0,0.0,29.0,25260.5,1109051.0,2557.0,1239679.0,-99999.0,-99999.0,,,,33.0,0.0,0.0,0.0,0.0,0.0,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,high,"(0.0, 0.0)",Navy Soldier 1 Male Root,still,,,,,,,,,,,,,medium,None,Navy Soldier 3 Male Root,waver,high,None,Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,Other,Submarine
2024213,0,dfec642f-45c9-4813-91d8-3445d5ca763c,0.416666667,0.416666667,4.0,0.5,0.398858081,0.0,19.36111563816658,514024.0,576377.0,690303.0,744348.0,799521.0,498061.0,514024.0,10.0,0.0,5.0,895769.0,492817.0,1.0,5.0,100.0,0.0,6.0,1.0,125.0,7800.0,797221.0,2113.0,950828.0,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,high,"(7.4, 21.4)",Marine 1 Male Root,still,medium,"(10.1, 18.6)",Marine 4 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(12.6, 5.6)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Other,Urban
2024213,0,fc676b00-9559-467d-adbb-696dd6e9fb08,0.416666667,0.416666667,4.0,0.5,0.398858081,0.0,13.116311894792261,721954.0,792438.0,847992.0,950853.0,,697900.0,721954.0,4.0,5.0,2.0,1071354.0,727468.0,-0.2584261546780193,4.0,100.0,0.0,9.0,0.0,109.0,0.0,830329.0,1437.0,963754.0,,,,,,32.0,4.0,1.0,0.0,1.0,1.0,high,"(14.2, -25.7)",Open World Civilian 2 Female Root,still,low,"(14.9, -27.8)",Open World Marine 1 Female Root,walker,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,medium,"(8.2, -26.7)",Open World Civilian 1 Male Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Other,Desert
2024214,0,d2aaf0ef-a32f-4255-b3f5-56df927ae0b4,0.8000000000000002,0.366666667,0.0,0.609090909,0.465441643,0.0,37.463705004610574,753049.0,780868.0,874190.0,953543.0,1026190.0,723469.0,780868.0,5.0,7.0,3.0,991209.0,729972.0,1.0,5.0,100.0,0.0,15.0,1.0,92.0,7057.75,1003113.0,2057.0,1068839.0,,,,,,6.0,0.0,0.0,1.0,4.0,1.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,medium,"(10.1, 18.6)",Marine 4 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(13.1, 4.6)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,Urban
2024215,0,3cf14e31-f416-4c78-8a69-91bf0c685448,0.4666666669999999,0.4666666669999999,2.333333333,0.546153846,0.278911726,0.0,4.168332812825267,527532.0,584355.0,654575.0,,,518810.0,527532.0,6.0,7.0,0.0,626462.0,518544.0,1.0,4.0,100.0,0.0,12.0,1.0,33.0,25794.0,585199.0,1184.0,687951.0,-99999.0,,,,,64.0,2.0,1.0,1.0,3.0,1.0,high,"(0.8, 1.1)",Open World Marine 4 Male Root,still,medium,"(-0.1, -0.1)",Open World Marine 2 Female Root,waver,high,"(0.5, -2.7)",Open World Marine 3 Male Root,waver,,,,,,,,,high,None,Open World Marine 1 Male Root,still,,,,,,,,,,,,,,,,,Other,Jungle
2024215,0,a7ce6f7b-6466-4281-9496-92b640d9d04b,0.4666666669999999,0.4666666669999999,2.333333333,0.546153846,0.278911726,0.0,17.344981860399816,517276.0,600866.0,661042.0,695443.0,,499671.0,517276.0,13.0,3.0,2.0,744287.0,646894.0,0.4511359237460464,4.0,100.0,0.0,8.0,0.0,53.0,13273.0,604000.0,2771.0,734355.0,,,,,,52.0,0.0,0.0,0.0,0.0,0.0,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,medium,"(-0.6, 3.9)",Navy Soldier 3 Male Root,waver,high,"(-0.3, -0.1)",Navy Soldier 1 Male Root,still,high,"(-4.2, -0.5)",Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Other,Submarine
2024215,1,3cf14e31-f416-4c78-8a69-91bf0c685448,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024215,1,a7ce6f7b-6466-4281-9496-92b640d9d04b,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024216,0,c6d3a90f-68c0-4948-bd96-537e80973605,0.366666667,0.625,0.0,0.553846154,0.320156335,0.0,19.391878709574744,583746.0,644516.0,691272.0,830456.0,,562950.0,583746.0,14.0,1.0,3.0,810288.0,423092.0,1.0,4.0,100.0,0.0,17.0,1.0,74.0,10775.0,530618.0,1539.0,725606.0,,,,,,27.0,2.0,1.0,1.0,3.0,1.0,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,medium,"(-0.5, 3.3)",Navy Soldier 3 Male Root,waver,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,high,"(-4.4, 0.0)",Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,,Submarine
2024216,0,d13091cc-98e4-4aba-8d02-7eca8bd1a30c,0.36666666700000006,0.625,0.0,0.553846154,0.320156335,0.0,8.50695680448947,311893.0,374509.0,410442.0,446253.0,,293840.0,311893.0,8.0,5.0,1.0,579562.0,357428.0,0.5883887790222301,4.0,0.0,0.0,18.0,0.0,65.0,1784.0,391444.0,1174.0,623622.0,,,,,,13.0,0.0,0.0,0.0,0.0,0.0,high,"(0.8, 1.1)",Open World Marine 4 Male Root,still,high,"(2.9, 2.5)",Open World Marine 1 Male Root,still,medium,"(0.5, -0.8)",Open World Marine 2 Female Root,waver,high,"(0.6, -2.7)",Open World Marine 3 Male Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,,Jungle
2024216,1,c6d3a90f-68c0-4948-bd96-537e80973605,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024217,0,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0.566666667,0.466666667,4.0,0.466666667,0.430107097,0.0,0.0,758326.0,,,,,752466.0,,0.0,15.0,0.0,752466.0,736002.0,,5.0,0.0,0.0,2.0,1.0,87.0,0.0,9735.0,2919.0,746527.0,-99999.0,-99999.0,-99999.0,-99999.0,,69.0,0.0,0.0,1.0,1.0,1.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,,,,,,,,,,,,,,,,,high,None,Civilian 1 Female Root,waver,medium,None,Marine 2 Male Root,waver,high,None,Marine 3 Male Root,waver,medium,None,Marine 4 Male Root,waver,,,,,EM faculty,Urban
2024217,0,6db9446c-2cd4-41b4-be8d-be5ccbbc6e05,0.566666667,0.46666666700000003,4.0,0.46666666700000003,0.430107097,0.0,0.0,,,,,,,,0.0,11.0,0.0,,-126865.0,,4.0,0.0,0.0,0.0,1.0,63.0,0.0,521212.0,1015.0,580215.0,-99999.0,-99999.0,-99999.0,-99999.0,,59.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,medium,None,Open World Civilian 1 Male Root,waver,high,None,Open World Civilian 2 Female Root,still,low,None,Open World Marine 1 Female Root,walker,high,None,Open World Marine 2 Male Root,still,,,,,EM faculty,Desert
2024218,0,37a554ee-fc49-4730-819c-2d97727bb0b7,0.316666667,0.4666666669999999,4.0,0.581410256,0.334622155,0.0,35.92782733907214,725617.0,775248.0,895159.0,948274.0,,698471.0,725617.0,7.0,5.0,2.0,986937.0,601569.0,1.0,4.0,66.66666666666667,0.0,14.0,1.0,68.0,22178.333333333332,778310.0,1079.0,855700.0,,,,,,60.0,0.0,0.0,1.0,0.0,0.0,high,"(14.2, -25.7)",Open World Civilian 2 Female Root,still,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,medium,"(8.7, -26.2)",Open World Civilian 1 Male Root,waver,low,"(0.0, 0.0)",Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,,,,,,,,,Other,Desert
2024218,0,45365e18-6e38-48e7-b4a2-6b448b209034,0.316666667,0.466666667,4.0,0.581410256,0.334622155,0.0,19.979385323081367,586668.0,642551.0,699746.0,746656.0,828435.0,545561.0,586668.0,10.0,2.0,4.0,891521.0,564398.0,1.0,5.0,80.0,0.0,23.0,1.0,75.0,4727.25,724386.0,1423.0,888941.0,,,,,,65.0,0.0,0.0,1.0,0.0,0.0,high,"(7.4, 21.4)",Marine 1 Male Root,still,medium,"(10.1, 19.1)",Marine 4 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(13.5, 4.9)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Other,Urban
2024219,0,21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0.5,0.516666667,4.333333333,0.538461538,0.319749969,0.0,3.6999999999999997,652401.0,742753.0,,,,640436.0,652401.0,9.0,9.0,0.0,727579.0,629498.0,,4.0,66.66666666666667,0.0,4.0,1.0,109.0,2468.5,724787.0,1314.0,754460.0,-99999.0,-99999.0,,,,61.0,0.0,0.0,1.0,7.0,1.0,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,medium,"(-0.4, 3.4)",Navy Soldier 3 Male Root,waver,,,,,,,,,,,,,high,None,Navy Soldier 2 Male Root,waver,high,None,Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,Other,Submarine
2024219,0,5d94f0d4-a1b1-4d18-8a62-591e196006a9,0.5,0.516666667,4.333333333,0.538461538,0.319749969,0.0,0.447213595499958,30063.0,565011.0,,,,534399.0,565011.0,3.0,8.0,1.0,606012.0,534948.0,,4.0,0.0,1.0,7.0,0.0,71.0,2216.0,2216.0,914.0,580131.0,-99999.0,-99999.0,,,,56.0,3.0,1.0,0.0,6.0,1.0,medium,"(0.0, 0.0)",Open World Marine 2 Female Root,waver,high,"(0.4, 0.2)",Open World Marine 4 Male Root,still,,,,,,,,,,,,,high,None,Open World Marine 1 Male Root,still,high,None,Open World Marine 3 Male Root,waver,,,,,,,,,,,,,Other,Jungle
2024219,1,21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024219,1,5d94f0d4-a1b1-4d18-8a62-591e196006a9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024220,0,287389c4-4c48-4483-87c0-6b363b57bde2,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786,0.0,1.5556349186104046,545140.0,586609.0,,,,533254.0,545140.0,1.0,8.0,3.0,591563.0,568045.0,,4.0,0.0,0.0,1.0,1.0,27.0,0.0,572240.0,970.0,581884.0,-99999.0,-99999.0,,,,19.0,0.0,0.0,1.0,2.0,1.0,high,"(1.9, 2.2)",Open World Marine 1 Male Root,still,high,"(0.8, 1.1)",Open World Marine 4 Male Root,still,,,,,,,,,,,,,medium,None,Open World Marine 2 Female Root,waver,high,None,Open World Marine 3 Male Root,waver,,,,,,,,,,,,,Medical student,Jungle
2024220,0,50b15e40-9860-4574-8ab8-0bd960fe27de,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786,0.0,16.123302104705623,432760.0,498393.0,511124.0,552381.0,,424496.0,432760.0,6.0,8.0,4.0,546059.0,482916.0,-0.25097567084286676,4.0,33.333333333333336,0.0,4.0,0.0,80.0,22927.0,498053.0,1753.0,564419.0,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,high,"(-0.3, -6.6)",Navy Soldier 2 Male Root,waver,high,"(0.0, 0.0)",Navy Soldier 1 Male Root,still,medium,"(-0.3, 3.4)",Navy Soldier 3 Male Root,waver,high,"(-5.3, -0.1)",Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Submarine
2024220,1,50b15e40-9860-4574-8ab8-0bd960fe27de,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024221,0,6666ee6b-863b-49d1-8097-97e6aa4fb39d,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236,0.0,0.0,,,,,,,,0.0,15.0,0.0,,-127393.0,,5.0,0.0,0.0,0.0,1.0,32.0,0.0,1035.0,1385.0,568196.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,high,None,Civilian 1 Female Root,waver,high,None,Marine 1 Male Root,still,medium,None,Marine 2 Male Root,waver,high,None,Marine 3 Male Root,waver,medium,None,Marine 4 Male Root,waver,Other,Urban
2024221,0,6a76af00-56ef-408f-a445-6f5168e090a8,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236,0.0,10.479520554715307,947234.0,999017.0,1085762.0,,,919759.0,947234.0,3.0,7.0,1.0,1050286.0,862330.0,1.0,4.0,66.66666666666667,0.0,5.0,1.0,73.0,8587.0,949075.0,1196.0,958128.0,-99999.0,,,,,25.0,1.0,1.0,1.0,1.0,1.0,high,"(14.2, -25.7)",Open World Civilian 2 Female Root,still,high,"(9.0, -22.5)",Open World Marine 2 Male Root,still,medium,"(8.2, -26.8)",Open World Civilian 1 Male Root,waver,,,,,,,,,low,None,Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,Other,Desert
2024221,1,6666ee6b-863b-49d1-8097-97e6aa4fb39d,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024222,0,4de6e23f-3c00-49d9-bbac-3a9febab4311,0.533333333,0.366666667,4.0,0.529806799,0.529864379,0.0,44.42417404453261,868194.0,902787.0,1031052.0,1101384.0,1131117.0,862721.0,902787.0,5.0,7.0,3.0,1169790.0,762165.0,1.0,5.0,100.0,0.0,11.0,1.0,59.0,32982.75,1025088.0,1084.0,1084278.0,,,,,,44.0,1.0,1.0,1.0,4.0,1.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,medium,"(10.1, 19.1)",Marine 4 Male Root,waver,high,"(13.1, 4.6)",Civilian 1 Female Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,,,,,,,,,,,,,,,,,,,,,Other,Urban
2024222,0,c99de80f-15cc-45cb-aa64-5af0f2f118ca,0.533333333,0.366666667,4.0,0.529806799,0.529864379,0.0,16.905418571901432,673059.0,720181.0,779890.0,841056.0,,616055.0,673059.0,5.0,5.0,2.0,817368.0,756490.0,0.5942111438358935,4.0,66.66666666666667,0.0,7.0,0.0,55.0,7005.666666666667,803935.0,1142.0,833604.0,,,,,,41.0,1.0,1.0,1.0,4.0,1.0,high,"(14.1, -25.6)",Open World Civilian 2 Female Root,still,medium,"(8.0, -26.4)",Open World Civilian 1 Male Root,waver,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,low,"(14.9, -27.8)",Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,,,,,,,,,Other,Desert
2024222,1,c99de80f-15cc-45cb-aa64-5af0f2f118ca,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024223,0,70eef02d-d2d0-458e-a8bb-f6511bf47a0c,0.516666667,0.475,0.0,0.515384615,0.292872306,0.0,2.7459060435491964,770553.0,904151.0,,,,748415.0,904151.0,2.0,9.0,1.0,850141.0,748750.0,,4.0,0.0,0.0,6.0,1.0,16.0,0.0,1697.0,2096.0,918148.0,-99999.0,-99999.0,,,,11.0,0.0,0.0,1.0,0.0,0.0,high,"(0.0, 0.0)",Open World Marine 4 Male Root,still,high,"(0.5, -2.7)",Open World Marine 3 Male Root,waver,,,,,,,,,,,,,high,None,Open World Marine 1 Male Root,still,medium,None,Open World Marine 2 Female Root,waver,,,,,,,,,,,,,,Jungle
2024223,0,c9a8dc60-f61d-44bb-bcb5-6e2466f3c9a0,0.516666667,0.475,0.0,0.515384615,0.292872306,0.0,10.263863903813835,708899.0,857661.0,957485.0,,,707070.0,708899.0,11.0,5.0,2.0,955024.0,839860.0,1.0,4.0,100.0,0.0,6.0,1.0,42.0,44966.5,964151.0,2916.0,993239.0,-99999.0,,,,,15.0,0.0,0.0,1.0,0.0,0.0,high,"(0.4, -6.8)",Navy Soldier 2 Male Root,waver,high,"(-0.5, 0.2)",Navy Soldier 1 Male Root,still,medium,"(-0.3, 3.4)",Navy Soldier 3 Male Root,waver,,,,,,,,,high,None,Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,Submarine
2024224,0,8b6c4aed-0983-4a76-99fb-cec08dc26b92,0.4666666669999999,0.316666667,4.333333333,0.623076923,0.310392505,0.0,3.601388621073821,1588561.0,1652937.0,,,,1548779.0,1588561.0,1.0,15.0,2.0,1621387.0,1387938.0,,4.0,0.0,0.0,2.0,1.0,42.0,12355.0,1399579.0,5037.0,1464981.0,-99999.0,-99999.0,,,,67.0,1.0,1.0,1.0,3.0,1.0,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,medium,"(-0.5, 3.3)",Navy Soldier 3 Male Root,still,,,,,,,,,,,,,high,None,Navy Soldier 2 Male Root,still,high,None,Navy Soldier 4 Female Root,still,,,,,,,,,,,,,EM faculty,Submarine
2024224,0,a3a7727b-dd25-4e78-8d63-e66573f5077e,0.4666666669999999,0.316666667,4.333333333,0.623076923,0.310392505,0.0,3.2202484376209237,734905.0,840873.0,,,,668624.0,734905.0,2.0,10.0,1.0,815526.0,816677.0,,4.0,0.0,1.0,4.0,1.0,39.0,0.0,8854.0,1823.0,889298.0,-99999.0,-99999.0,,,,6.0,0.0,0.0,1.0,1.0,1.0,medium,"(0.5, -0.7)",Open World Marine 2 Female Root,still,high,"(1.9, 2.2)",Open World Marine 1 Male Root,still,,,,,,,,,,,,,high,None,Open World Marine 3 Male Root,still,high,None,Open World Marine 4 Male Root,still,,,,,,,,,,,,,EM faculty,Jungle
2024225,0,05e0be07-479a-4ea4-9b90-3fc7b79ef7ff,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855,2.0,4.1725292090050115,875377.0,925997.0,,,,837410.0,875377.0,7.0,8.0,0.0,909381.0,896972.0,,5.0,40.0,0.0,4.0,1.0,30.0,1897.0,904560.0,1199.0,935242.0,-99999.0,-99999.0,-99999.0,,,158.0,0.0,0.0,1.0,0.0,0.0,high,"(7.2, 21.7)",Marine 1 Male Root,still,medium,"(10.2, 18.8)",Marine 4 Male Root,still,,,,,,,,,,,,,high,None,Civilian 1 Female Root,still,medium,None,Marine 2 Male Root,waver,high,None,Marine 3 Male Root,still,,,,,,,,,Other,Urban
2024225,0,a9c21d35-e8be-47fd-926a-a00dcd3e792b,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855,2.0,4.049691346263317,581936.0,622235.0,,,,529324.0,581936.0,2.0,8.0,1.0,600128.0,595866.0,,4.0,66.66666666666667,0.0,1.0,1.0,48.0,0.0,595866.0,696.0,640208.0,-99999.0,-99999.0,,,,84.0,0.0,0.0,1.0,0.0,0.0,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,medium,"(8.1, -26.4)",Open World Civilian 1 Male Root,still,,,,,,,,,,,,,high,None,Open World Civilian 2 Female Root,still,low,None,Open World Marine 1 Female Root,still,,,,,,,,,,,,,Other,Desert
2024226,0,0e8693a1-1926-4d56-b0c4-ee2dc8181fc6,0.316666667,0.366666667,3.6666666669999994,0.621794872,0.484169598,0.0,18.62373272727208,782677.0,837870.0,918896.0,997335.0,,778459.0,782677.0,8.0,4.0,2.0,1184942.0,892226.0,1.0,4.0,100.0,0.0,22.0,1.0,85.0,10172.666666666666,813787.0,2341.0,1086288.0,,,,,,14.0,0.0,0.0,1.0,0.0,0.0,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,low,"(14.3, -27.9)",Open World Marine 1 Female Root,still,medium,"(8.2, -26.8)",Open World Civilian 1 Male Root,still,high,"(14.2, -25.7)",Open World Civilian 2 Female Root,still,,,,,,,,,,,,,,,,,,,,,,,,,EM faculty,Desert
2024226,0,703b9d0b-7786-4a4b-8a26-7c57d16b785a,0.316666667,0.366666667,3.666666667,0.621794872,0.484169598,0.0,22.453848116441677,516892.0,567051.0,633147.0,683284.0,845458.0,492648.0,516892.0,15.0,0.0,5.0,833179.0,646045.0,1.0,5.0,100.0,0.0,11.0,1.0,134.0,14401.5,808219.0,2161.0,915244.0,,,,,,19.0,0.0,0.0,1.0,0.0,0.0,high,"(7.6, 21.1)",Marine 1 Male Root,still,medium,"(10.1, 19.1)",Marine 4 Male Root,still,high,"(11.3, 10.4)",Marine 3 Male Root,still,high,"(13.5, 5.0)",Civilian 1 Female Root,still,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,,,,,,,,,,,,,,,,,,,,,EM faculty,Urban
2024227,0,84c92e21-764b-435b-9e55-0f12f60383fc,0.466666667,0.316666667,4.0,0.469230769,0.310236722,0.0,5.208646657242167,671381.0,719666.0,,,,24142.0,671381.0,3.0,14.0,1.0,703653.0,695524.0,,4.0,33.333333333333336,0.0,1.0,1.0,46.0,0.0,647239.0,902.0,717275.0,-99999.0,-99999.0,,,,52.0,1.0,1.0,1.0,0.0,0.0,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,still,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,,,,,,,,,,,,,medium,None,Navy Soldier 3 Male Root,still,high,None,Navy Soldier 4 Female Root,still,,,,,,,,,,,,,Paramedic,Submarine
2024227,0,9f3bb117-3a4b-4bc7-9237-e2d9920d5333,0.466666667,0.316666667,4.0,0.469230769,0.310236722,0.0,2.720294101747089,420757.0,466284.0,,,,390842.0,420757.0,1.0,9.0,2.0,428349.0,448334.0,,4.0,0.0,0.0,4.0,1.0,33.0,0.0,404225.0,456.0,460770.0,-99999.0,-99999.0,,,,23.0,0.0,0.0,1.0,0.0,0.0,high,"(0.8, 1.1)",Open World Marine 4 Male Root,still,high,"(3.0, 2.7)",Open World Marine 1 Male Root,still,,,,,,,,,,,,,medium,None,Open World Marine 2 Female Root,still,high,None,Open World Marine 3 Male Root,still,,,,,,,,,,,,,Paramedic,Jungle
