participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_YrsMilExp,mean_actual_engagement_distance,mean_engaged_patient00_engagement_start,mean_engaged_patient01_engagement_start,mean_engaged_patient02_engagement_start,mean_engaged_patient03_engagement_start,mean_engaged_patient04_engagement_start,mean_first_engagement,mean_first_treatment,mean_injury_correctly_treated_count,mean_injury_not_treated_count,mean_injury_wrongly_treated_count,mean_last_engagement,mean_last_still_engagement,mean_measure_of_right_ordering,mean_patient_count,mean_percent_hemorrhage_controlled,mean_prioritize_high_injury_severity_patients,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_time_to_last_hemorrhage_controlled,mean_total_actions_count,mean_triage_time,mean_unengaged_patient00_engagement_start,mean_unengaged_patient01_engagement_start,mean_unengaged_patient02_engagement_start,mean_unengaged_patient03_engagement_start,mean_unengaged_patient04_engagement_start,mean_voice_capture_count,mean_walk_command_count,mean_walk_value,mean_walkers_value,mean_wave_command_count,mean_wave_value,engaged_patient00_injury_severity,engaged_patient00_location_tuple,engaged_patient00_patient_id,engaged_patient00_patient_sort,engaged_patient01_injury_severity,engaged_patient01_location_tuple,engaged_patient01_patient_id,engaged_patient01_patient_sort,engaged_patient02_injury_severity,engaged_patient02_location_tuple,engaged_patient02_patient_id,engaged_patient02_patient_sort,engaged_patient03_injury_severity,engaged_patient03_location_tuple,engaged_patient03_patient_id,engaged_patient03_patient_sort,engaged_patient04_injury_severity,engaged_patient04_location_tuple,engaged_patient04_patient_id,engaged_patient04_patient_sort,unengaged_patient00_injury_severity,unengaged_patient00_location_tuple,unengaged_patient00_patient_id,unengaged_patient00_patient_sort,unengaged_patient01_injury_severity,unengaged_patient01_location_tuple,unengaged_patient01_patient_id,unengaged_patient01_patient_sort,unengaged_patient02_injury_severity,unengaged_patient02_location_tuple,unengaged_patient02_patient_id,unengaged_patient02_patient_sort,unengaged_patient03_injury_severity,unengaged_patient03_location_tuple,unengaged_patient03_patient_id,unengaged_patient03_patient_sort,unengaged_patient04_injury_severity,unengaged_patient04_location_tuple,unengaged_patient04_patient_id,unengaged_patient04_patient_sort,medical_role,encounter_layout
2024203,1,acf74a81-a534-44c7-9cb1-67ec381b5ee0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024204,0,80f79d45-22fd-479d-b6e2-c62b5778e073,0.4,0.316666667,4.0,0.608333333,0.289871777,0.0,0.0,,,,,,173713.0,,0.0,13.0,0.0,173713.0,-271507.0,,4.0,0.0,0.0,0.0,1.0,81.0,0.0,5246.0,976.0,864869.0,-99999.0,-99999.0,-99999.0,-99999.0,,51.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,high,None,Open World Marine 1 Male Root,still,medium,None,Open World Marine 2 Female Root,waver,high,None,Open World Marine 3 Male Root,waver,high,None,Open World Marine 4 Male Root,still,,,,,Medical student,Jungle
2024204,0,cbbf410f-4657-428e-9616-8a777cc4704d,0.4,0.316666667,4.0,0.608333333,0.289871777,0.0,0.0,,,,,,,,0.0,18.0,0.0,,-144624.0,,4.0,0.0,0.0,0.0,1.0,38.0,0.0,1929.0,1081.0,573722.0,-99999.0,-99999.0,-99999.0,-99999.0,,13.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,high,None,Navy Soldier 1 Male Root,still,high,None,Navy Soldier 2 Male Root,waver,medium,None,Navy Soldier 3 Male Root,waver,high,None,Navy Soldier 4 Female Root,waver,,,,,Medical student,Submarine
2024204,1,80f79d45-22fd-479d-b6e2-c62b5778e073,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024205,0,ddfb4e6e-f7c3-4321-89df-b6208f336318,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024205,0,df2fcf88-874b-4cf9-9707-3fa0b30c348f,0.175,0.366666667,3.333333333,0.623076923,0.569123585,0.0,15.629875543788208,675234.0,711977.0,809527.0,,,634273.0,675234.0,5.0,8.0,3.0,779469.0,679706.0,-0.12984449928396447,5.0,40.0,1.0,3.0,0.0,68.0,13152.25,790829.0,1403.0,807716.0,-99999.0,-99999.0,,,,75.0,0.0,0.0,0.0,0.0,0.0,medium,"(10.1, 19.1)",Marine 4 Male Root,waver,high,"(7.4, 21.4)",Marine 1 Male Root,still,high,"(12.4, 10.4)",Marine 3 Male Root,waver,,,,,,,,,high,None,Civilian 1 Female Root,waver,medium,None,Marine 2 Male Root,waver,,,,,,,,,,,,,Other,Urban
2024205,1,ddfb4e6e-f7c3-4321-89df-b6208f336318,0.175,0.366666667,3.333333333,0.623076923,0.569123585,0.0,0.0,,,,,,,,0.0,11.0,0.0,,-117300.0,,4.0,0.0,0.0,0.0,1.0,49.0,0.0,9928.0,667.0,488030.0,-99999.0,-99999.0,-99999.0,-99999.0,,74.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,medium,None,Open World Civilian 1 Male Root,waver,high,None,Open World Civilian 2 Female Root,still,low,None,Open World Marine 1 Female Root,walker,high,None,Open World Marine 2 Male Root,still,,,,,Other,Desert
2024206,0,499179ba-3138-4bae-918e-ffc7fb943760,0.475,0.466666667,2.333333333,0.643356643,0.387654284,0.0,37.633015376847524,1231996.0,1381696.0,1538308.0,1614000.0,1710395.0,1168306.0,1231996.0,13.0,4.0,3.0,1673420.0,1059307.0,1.0,5.0,80.0,0.0,25.0,1.0,117.0,24778.75,1441311.0,1900.0,1570828.0,,,,,,7.0,0.0,0.0,1.0,5.0,1.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,medium,"(10.1, 18.9)",Marine 4 Male Root,waver,high,"(11.9, 9.6)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(12.4, 5.4)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Medical student,Urban
2024206,0,aecfcd56-2262-40a8-9bb8-088f57d46f3f,0.475,0.466666667,2.333333333,0.643356643,0.387654284,0.0,56.41683190385545,832747.0,932331.0,991918.0,1036525.0,,807129.0,832747.0,7.0,4.0,3.0,1027615.0,881088.0,1.0,4.0,66.66666666666667,0.0,11.0,1.0,42.0,24408.0,997898.0,1490.0,1019644.0,,,,,,56.0,0.0,0.0,1.0,9.0,1.0,high,"(0.0, 0.0)",Open World Civilian 2 Female Root,still,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,medium,"(8.5, -26.2)",Open World Civilian 1 Male Root,waver,low,"(0.0, 0.0)",Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Desert
2024206,1,aecfcd56-2262-40a8-9bb8-088f57d46f3f,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
