session_uuid,scene_id,sequence_length,sequence_entropy,sequence_turbulence,sequence_complexity
009b848c-ea64-4f22-bd40-711213a3d327,0,120,0.8161324517961255,98.53199595200438,0.5061138522998181
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,0,46,0.8954406573430432,40.80951161634892,0.506211605807149
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,98,0.8036695546271422,85.73559394009835,0.49801454196325395
02c225ff-2cb4-4e3e-b111-fbafa3dbec76,0,89,0.7313500225971142,69.30273210085483,0.40708943168477046
02f6a42e-5211-40ea-8384-824a83ab6760,0,111,0.8226647716870662,92.73926231743621,0.46742817946276644
02f6a42e-5211-40ea-8384-824a83ab6760,1,2,0.0,2.584962500721156,0.0
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,81,0.82654206287417,73.04329994891174,0.5400529222084035
040ba585-ccae-45ef-b4bd-a0e35ec222b0,0,33,0.9322839072816446,30.711163047633917,0.605745587542973
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,107,0.826198812731993,92.53964666593397,0.5022142130664488
04882754-51a0-4e5b-9617-b200e3609116,0,28,0.9362114558307182,26.183208233253332,0.5892223470989011
04882754-51a0-4e5b-9617-b200e3609116,1,71,0.8371208250674613,65.3649146884365,0.5649629061614952
04acc8f2-1e64-47b2-9606-8d661f584aec,0,42,0.9174154038641367,39.80703608849968,0.5524817334026733
04acc8f2-1e64-47b2-9606-8d661f584aec,1,65,0.8279434989724056,59.39205330523723,0.5542188972691817
054918a7-9634-40fe-8356-2ce0c9cc376f,0,87,0.7275763460082334,66.0227341167359,0.4324270860239345
06303b89-128e-4bfb-9e6f-a843da3134f9,0,82,0.5756325702183089,50.66735672390371,0.3118276267877952
06303b89-128e-4bfb-9e6f-a843da3134f9,1,87,0.8927918580027475,74.44907005851681,0.5371653956325858
06574b6f-ab02-432c-9a65-7b031218a270,0,61,0.6871406315351501,45.86495712265501,0.4029689116973252
06574b6f-ab02-432c-9a65-7b031218a270,1,78,0.8112852572212421,71.17512877019692,0.5385156033920938
06574b6f-ab02-432c-9a65-7b031218a270,2,52,0.8859115600351105,45.61838313149176,0.5628943599398558
06574b6f-ab02-432c-9a65-7b031218a270,3,2,1.0,2.0,1.2011224087864498
06574b6f-ab02-432c-9a65-7b031218a270,4,103,0.8431303373581872,90.15158132039737,0.5348982939085266
06574b6f-ab02-432c-9a65-7b031218a270,5,39,0.927131277561424,34.23249615266831,0.5348756850602775
06574b6f-ab02-432c-9a65-7b031218a270,6,71,0.8365568930306172,64.25100770797313,0.541637343482284
06574b6f-ab02-432c-9a65-7b031218a270,7,2,1.0,2.0,1.2011224087864498
06574b6f-ab02-432c-9a65-7b031218a270,8,40,0.8389482718696288,36.39281638408193,0.5552446900537663
06574b6f-ab02-432c-9a65-7b031218a270,9,82,0.8216839593148735,72.82562804880837,0.5190710689522707
