session_uuid,scene_id,last_still_engagement,actual_engagement_distance,ideal_engagement_distance,measure_of_ideal_ordering,distracted_engagement_distance,measure_of_distracted_ordering,measure_of_right_ordering,actual_ideal_delta,actual_distracted_delta,adherence_to_salt,has_patient_in_agony,patient_count,cluster_label
009b848c-ea64-4f22-bd40-711213a3d327,0,407584.0,21.04053519985043,23.62197288805055,0.13109732772760396,17.40307542241045,0.9986943800415076,-0.03686535016558867,-2.5814376882001184,3.6374597774399824,False,True,11.0,0
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,0,77353.0,9.70081517816339,9.70081517816339,1.0,14.998249635483457,-0.3789358663532014,1.0,0.0,-5.297434457320067,True,False,4.0,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,148234.0,46.90220481776942,41.01870221945403,0.8005199746823486,29.25008499418101,0.17657590949445257,1.0,5.8835025983153955,17.652119823588414,True,True,11.0,0
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,2,,0.0,0.0,,0.0,,,0.0,0.0,False,False,0.0,1
02c225ff-2cb4-4e3e-b111-fbafa3dbec76,0,210576.0,15.250770999024478,10.446847872887334,0.010569131303084456,15.072436032351682,-0.28220364324410174,0.010569131303084456,4.8039231261371445,0.17833496667279647,False,False,5.0,1
02f6a42e-5211-40ea-8384-824a83ab6760,0,188843.0,30.25003375055959,40.14415111437838,0.2668773274261824,29.774068765771787,0.08724090329230871,0.8447404286241069,-9.89411736381879,0.47596498478780447,False,True,11.0,0
02f6a42e-5211-40ea-8384-824a83ab6760,1,,2.220360331117452,2.220360331117452,,2.220360331117452,,,0.0,0.0,False,True,2.0,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,113996.0,42.23731006409702,41.24919212878134,0.9556666913127907,30.19413070423375,0.38377194631393696,1.0,0.9881179353156782,12.043179359863267,True,True,11.0,0
040ba585-ccae-45ef-b4bd-a0e35ec222b0,0,51788.0,11.11070065428546,9.61070065428546,0.9989032365251282,15.004686356149273,-0.48596801574446324,1.0,1.5,-3.893985701863814,True,False,5.0,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,246124.0,41.433762351834424,40.85746501471646,0.10244422880329729,30.342861659225328,0.4033976966075168,0.21675907463091104,0.576297337117964,11.090900692609097,False,True,11.0,0
