session_uuid,scene_id,patient_sort00,injury_severity00,combo00,patient_sort01,injury_severity01,combo01,patient_sort02,injury_severity02,combo02,patient_sort03,injury_severity03,combo03,patient_sort04,injury_severity04,combo04,patient_sort05,injury_severity05,combo05,patient_sort06,injury_severity06,combo06,patient_sort07,injury_severity07,combo07,patient_sort08,injury_severity08,combo08,patient_sort09,injury_severity09,combo09,patient_sort10,injury_severity10,combo10,patient_sort11,injury_severity11,combo11,patient_sort12,injury_severity12,combo12,patient_sort13,injury_severity13,combo13,patient_sort14,injury_severity14,combo14,patient_sort15,injury_severity15,combo15,patient_sort16,injury_severity16,combo16,severe_hemorrhaging00,severe_hemorrhaging01,severe_hemorrhaging02,severe_hemorrhaging03,severe_hemorrhaging04,severe_hemorrhaging05,severe_hemorrhaging06,severe_hemorrhaging07,severe_hemorrhaging08,severe_hemorrhaging09,severe_hemorrhaging10,severe_hemorrhaging11,severe_hemorrhaging12,severe_hemorrhaging13,severe_hemorrhaging14,severe_hemorrhaging15,severe_hemorrhaging16,sort_hemorrhaging00,sort_hemorrhaging01,sort_hemorrhaging02,sort_hemorrhaging03,sort_hemorrhaging04,sort_hemorrhaging05,sort_hemorrhaging06,sort_hemorrhaging07,sort_hemorrhaging08,sort_hemorrhaging09,sort_hemorrhaging10,sort_hemorrhaging11,sort_hemorrhaging12,sort_hemorrhaging13,sort_hemorrhaging14,sort_hemorrhaging15,sort_hemorrhaging16
09024025-1320-4891-aefa-a497744ed3e2,0,walker,low,walker-low,walker,low,walker-low,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,still,high,still-high,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,True,False,False,False,,,,,,,walker-False,walker-False,waver-False,waver-True,waver-False,still-False,waver-False,still-True,waver-False,still-False,walker-False,,,,,,
090d0988-3f81-4603-87e2-477538a6750c,0,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,walker-False,,,,,,,,,,,,,,,,
090d0988-3f81-4603-87e2-477538a6750c,1,walker,low,walker-low,waver,medium,waver-medium,still,high,still-high,still,high,still-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,True,False,,,,,,,,,walker-False,waver-False,still-False,still-False,waver-False,still-True,waver-False,waver-True,waver-False,,,,,,,,
0940a9be-3ff5-4739-b04b-a7605c1ffa2f,0,waver,high,waver-high,walker,,walker-nan,still,high,still-high,waver,medium,waver-medium,still,high,still-high,still,low,still-low,waver,high,waver-high,waver,high,waver-high,walker,low,walker-low,walker,medium,walker-medium,waver,medium,waver-medium,,,,,,,,,,,,,,,,,,,True,False,True,False,False,False,True,True,False,False,False,,,,,,,waver-True,walker-False,still-True,waver-False,still-False,still-False,waver-True,waver-True,walker-False,walker-False,waver-False,,,,,,
0950437e-94b0-45bf-8d11-dd446fd0e4a2,0,walker,low,walker-low,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,walker-False,walker-False,,,,,,,,,,,,,,,
09f30ce2-1507-4ef1-84f1-3dfb3e6d9b86,0,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,True,False,False,False,False,,,,,,,still-False,waver-False,waver-False,still-True,still-False,waver-False,waver-True,waver-False,walker-False,walker-False,walker-False,,,,,,
0b01cf49-87cc-4647-9f29-b8dff39dcd6c,0,still,high,still-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,waver,high,waver-high,walker,low,walker-low,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,,,,,,,still-False,waver-False,still-True,waver-False,waver-False,still-False,waver-True,walker-False,waver-False,walker-False,walker-False,,,,,,
0b1d6253-9c4f-43b7-8217-6f0e486aabe7,0,walker,low,walker-low,walker,low,walker-low,waver,medium,waver-medium,still,high,still-high,still,high,still-high,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,True,False,,,,,,,walker-False,walker-False,waver-False,still-False,still-False,waver-True,waver-False,waver-False,waver-False,still-True,walker-False,,,,,,
0b41cfdc-0891-4d1d-91ea-ac86fa54a34c,0,still,high,still-high,waver,medium,waver-medium,walker,medium,walker-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,,
0b41cfdc-0891-4d1d-91ea-ac86fa54a34c,1,walker,low,walker-low,still,high,still-high,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,False,False,False,,,,,,,walker-False,still-False,still-True,still-False,waver-False,waver-True,waver-False,waver-False,waver-False,walker-False,walker-False,,,,,,
0b630a14-5acd-4e11-99df-8f59d804f807,0,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,walker-False,,,,,,,,,,,,,,,,
0b891add-e0c3-463d-948d-7f491f1d10ef,0,still,high,still-high,waver,high,waver-high,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,True,False,True,False,False,False,False,False,False,False,,,,,,,still-False,waver-True,still-False,still-True,waver-False,waver-False,waver-False,waver-False,walker-False,walker-False,walker-False,,,,,,
0b891add-e0c3-463d-948d-7f491f1d10ef,2,waver,medium,waver-medium,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,waver-False,walker-False,,,,,,,,,,,,,,,
0b891add-e0c3-463d-948d-7f491f1d10ef,3,walker,low,walker-low,still,high,still-high,waver,medium,waver-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,,,,walker-False,still-True,waver-False,,,,,,,,,,,,,,
0b891add-e0c3-463d-948d-7f491f1d10ef,4,walker,low,walker-low,waver,high,waver-high,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,still,high,still-high,still,medium,still-medium,waver,high,waver-high,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,False,False,False,True,,,,,,,,,walker-False,waver-True,still-True,waver-False,waver-False,still-False,still-False,still-False,waver-True,,,,,,,,
0bfe46ef-6644-441e-a903-5445f2ee4fd5,0,waver,high,waver-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,high,waver-high,still,low,still-low,still,high,still-high,walker,medium,walker-medium,walker,low,walker-low,walker,,walker-nan,,,,,,,,,,,,,,,,,,,True,False,True,False,True,True,False,False,False,False,False,,,,,,,waver-True,waver-False,still-True,waver-False,waver-True,waver-True,still-False,still-False,walker-False,walker-False,walker-False,,,,,,
0d3e0c62-db52-40f9-9ee8-7fc84a1dcbf2,0,still,high,still-high,waver,medium,waver-medium,still,high,still-high,still,high,still-high,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,,,,,,,still-False,waver-False,still-True,still-False,waver-True,waver-False,waver-False,waver-False,walker-False,walker-False,walker-False,,,,,,
0dc94285-ba14-40aa-9745-76504502a5cc,0,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,walker-False,,,,,,,,,,,,,,,,
0dc94285-ba14-40aa-9745-76504502a5cc,2,still,high,still-high,walker,low,walker-low,still,high,still-high,still,high,still-high,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,,,,,,,still-False,walker-False,still-True,still-False,waver-True,waver-False,waver-False,waver-False,waver-False,walker-False,walker-False,,,,,,
0dc94285-ba14-40aa-9745-76504502a5cc,3,walker,,walker-nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,walker-False,,,,,,,,,,,,,,,,
0fa439d6-476c-49a5-b478-48e3454974e1,0,still,high,still-high,waver,medium,waver-medium,walker,medium,walker-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,,
0fa439d6-476c-49a5-b478-48e3454974e1,1,still,high,still-high,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,,,,,,,still-False,still-True,still-False,waver-False,waver-True,waver-False,waver-False,waver-False,walker-False,walker-False,walker-False,,,,,,
0fb12cf8-dcf5-4110-b090-3b3271e9add6,0,walker,,walker-nan,still,high,still-high,waver,medium,waver-medium,walker,low,walker-low,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,walker-False,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,
0fb12cf8-dcf5-4110-b090-3b3271e9add6,1,still,high,still-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,walker,low,walker-low,waver,high,waver-high,walker,low,walker-low,waver,medium,waver-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,True,False,False,False,,,,,,,still-False,waver-False,still-True,waver-False,still-False,waver-False,walker-False,waver-True,walker-False,waver-False,walker-False,,,,,,
1044049f-c7e0-4a16-98d3-e3826b4b8bfc,0,still,high,still-high,waver,medium,waver-medium,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,,,,,,,still-False,waver-False,still-True,still-False,waver-False,waver-False,waver-True,waver-False,walker-False,walker-False,walker-False,,,,,,
